run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best,mean_mae,mean_mape,mean_mse,mean_r2
d08a113b,DSRegPSOPnl,2024-08-21 05:04:02,5:21:23,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=5 nlvls=4,0.04,0.01,3,0.001,1,1e-10,2,4,5,5,4,1999505,-0.320011168718338,0.320011168718338,0.0,117.0,0.17600613832473755,0.17922191321849823,0.09553208947181702,259509649408.0,487370522624.0,0.05220139026641846,0.015296358615159988,0.025786221027374268,0.015296358615159988,-0.16236759722232819,0.6665207743644714,0.0017806655960157514,0.02543402463197708,8.638939003990497e-15,0.025786221027374268,0.17922191321849823,259509649408.0,0.05220139026641846,-0.16236759722232819
a45f6fc8,DSRegPSOPnl,2024-08-21 04:12:44,4:22:27,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=5 nlvls=3,0.04,0.01,3,0.001,1,1e-10,2,4,5,5,3,1999505,-1.019777536392212,1.019777536392212,0.0,115.0,0.5608776807785034,0.40698304772377014,0.08916611969470978,1589824454656.0,9044729856.0,0.39211779832839966,0.014047452248632908,0.02873441018164158,0.014041122049093246,-7.495217323303223,0.6937484741210938,0.007483477704226971,0.02773943729698658,1.2549355596388996e-16,0.02873441018164158,0.40698304772377014,1589824454656.0,0.39211779832839966,-7.495217323303223
6f9f126c,DSRegPSOPnl,2024-08-21 02:18:28,3:32:03,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=5 nlvls=2,0.04,0.01,3,0.001,1,1e-10,2,4,5,5,2,1999505,-0.8695037364959717,0.8695037364959717,0.0,133.0,0.47822704911231995,0.19110068678855896,0.0792226493358612,2319143403520.0,653402439680.0,0.06978548318147659,0.011132786050438881,0.05096074566245079,0.011132786050438881,-0.5131279230117798,0.7572917342185974,0.030707871541380882,0.049568500369787216,7.150778856849713e-14,0.05096074566245079,0.19110068678855896,2319143403520.0,0.06978548318147659,-0.5131279230117798
022146dd,DSRegPSOPnl,2024-08-21 01:45:08,2:27:35,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=5 nlvls=1,0.04,0.01,3,0.001,1,1e-10,2,4,5,5,1,1999505,-0.7200000286102295,0.7200000286102295,0.0,169.0,0.3959999978542328,0.5355572700500488,0.08232949674129486,464701751296.0,357736284160.0,0.7327435612678528,0.011431800201535225,0.06060529127717018,0.011431800201535225,-16.724897384643555,0.7507728934288025,0.010743975639343262,0.048836253583431244,2.1380778549538737e-13,0.06060529127717018,0.5355572700500488,464701751296.0,0.7327435612678528,-16.724897384643555
7d227923,DSRegPSOPnl,2024-08-21 01:02:38,5:13:47,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=4 nlvls=4,0.04,0.01,3,0.001,1,1e-10,2,4,5,4,4,1999505,-0.44999998807907104,0.44999998807907104,0.0,117.0,0.2475000023841858,0.2086195945739746,0.10441860556602478,2948886167552.0,41059704832.0,0.07106978446245193,0.01831982284784317,0.03307442367076874,0.017599361017346382,-0.5726552605628967,0.6006056070327759,0.006546262186020613,0.0327313095331192,1.841647663633917e-14,0.03307442367076874,0.2086195945739746,2948886167552.0,0.07106978446245193,-0.5726552605628967
3c028c48,DSRegPSOPnl,2024-08-21 00:51:30,4:12:31,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=4 nlvls=3,0.04,0.01,3,0.001,1,1e-10,2,4,5,4,3,1999505,-1.0399999618530273,1.0399999618530273,0.0,134.0,0.5720000267028809,0.198408305644989,0.08613571524620056,0.5818319320678711,151803641856.0,0.06278903037309647,0.013189215213060379,0.03408670425415039,0.013189215213060379,-0.43561702966690063,0.7124590873718262,0.0013478250475600362,0.03369562700390816,4.0298886731966743e-14,0.03408670425415039,0.198408305644989,0.5818319320678711,0.06278903037309647,-0.43561702966690063
0f6614fb,DSRegPSOPnl,2024-08-20 23:03:09,3:15:19,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=4 nlvls=2,0.04,0.01,3,0.001,1,1e-10,2,4,5,4,2,1999505,-0.6100000143051147,0.6100000143051147,2.0,140.0,0.33550000190734863,0.17843323945999146,0.08576028794050217,1259065442304.0,231635959808.0,0.053708795458078384,0.012376482598483562,0.03497530147433281,0.012376482598483562,-0.2986844778060913,0.730177640914917,0.010668130591511726,0.029633695259690285,2.24508640709253e-14,0.03497530147433281,0.17843323945999146,1259065442304.0,0.053708795458078384,-0.2986844778060913
1626fb91,DSRegPSOPnl,2024-08-20 22:41:44,2:20:53,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=4 nlvls=1,0.04,0.01,3,0.001,1,1e-10,2,4,5,4,1,1999505,-0.41999998688697815,0.41999998688697815,0.0,178.0,0.23100000619888306,0.19885031878948212,0.08690574765205383,1015969021952.0,552557412352.0,0.06872262805700302,0.012602347880601883,0.03267538174986839,0.012598930858075619,-0.6220617890357971,0.7252535223960876,0.005161509849131107,0.030361821874976158,1.4742058934336566e-15,0.03267538174986839,0.19885031878948212,1015969021952.0,0.06872262805700302,-0.6220617890357971
634d24db,DSRegPSOPnl,2024-08-20 21:00:55,4:44:12,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=3 nlvls=4,0.04,0.01,3,0.001,1,1e-10,2,4,5,3,4,1999505,-0.3400000035762787,0.3400000035762787,0.0,125.0,0.18700000643730164,0.2158108800649643,0.08489197492599487,1537096548352.0,1207753244672.0,0.7431896328926086,0.011762009933590889,0.024456333369016647,0.011489697732031345,-15.009902954101562,0.7435739040374756,0.0020554466173052788,0.022838296368718147,4.5846886467912525e-15,0.024456333369016647,0.2158108800649643,1537096548352.0,0.7431896328926086,-15.009902954101562
4e03391c,DSRegPSOPnl,2024-08-20 20:58:24,3:53:04,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=2 groups=4 n=5 n_operators=3 nlvls=3,0.04,0.01,3,0.001,1,1e-10,2,4,5,3,3,1999505,-1.1664458513259888,1.1664458513259888,0.0,138.0,0.6415452361106873,0.39691320061683655,0.08847535401582718,2242229567488.0,320888930304.0,0.4037547707557678,0.013478356413543224,0.01946014165878296,0.0134237976744771,-8.759919166564941,0.7061554789543152,0.017030777409672737,0.0185835063457489,8.118545678119978e-15,0.01946014165878296,0.39691320061683655,2242229567488.0,0.4037547707557678,-8.759919166564941
