run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best,mean_mae,mean_mape,mean_mse,mean_r2
1964ab8d,DSRegPSOPnl,2024-08-24 18:58:48,2:46:44,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=5 nlvls=4,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,5,4,1999505,-0.3199999928474426,0.3199999928474426,0.0,147.0,0.17599999904632568,0.1974804550409317,0.14682891964912415,36762734821376.0,20010112122880.0,0.11412471532821655,0.03333664685487747,0.054462533444166183,0.03333664685487747,-1.50066339969635,0.16175535321235657,3.7719468082286767e-07,5.388495537772542e-06,3.23388225031561e-19,0.054462533444166183,0.1974804550409317,36762734821376.0,0.11412471532821655,-1.50066339969635
181c193a,DSRegPSOPnl,2024-08-24 18:36:54,2:21:13,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=5 nlvls=3,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,5,3,1999505,-0.5800006985664368,0.5800006985664368,0.0,144.0,0.31900039315223694,0.4530240297317505,0.14537018537521362,14914875817984.0,20955256586240.0,0.2872407138347626,0.032684847712516785,0.04079766944050789,0.032684847712516785,-5.8129658699035645,0.1781446933746338,1.326481651631184e-06,4.019632797280792e-06,1.9973928958848252e-19,0.04079766944050789,0.4530240297317505,14914875817984.0,0.2872407138347626,-5.8129658699035645
10bd20e2,DSRegPSOPnl,2024-08-24 17:33:02,1:58:03,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=5 nlvls=2,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,5,2,1999505,-0.3199999928474426,0.3199999928474426,0.0,149.0,0.17599999904632568,0.5378254652023315,0.13961972296237946,23331682123776.0,21319991164928.0,0.4353621304035187,0.03199327737092972,0.058991000056266785,0.03199327737092972,-9.621525764465332,0.1955341398715973,4.083168505530921e-07,5.83309793000808e-06,2.3332901855791135e-18,0.058991000056266785,0.5378254652023315,23331682123776.0,0.4353621304035187,-9.621525764465332
985a65f2,DSRegPSOPnl,2024-08-24 17:13:57,1:22:56,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=5 nlvls=1,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,5,1,1999505,-0.5,0.5,1.0,145.0,0.2750000059604645,0.17825056612491608,0.13846459984779358,31185229053952.0,19165853253632.0,0.05103040486574173,0.03164958953857422,0.03780438005924225,0.03164958953857422,-0.24333517253398895,0.2041761726140976,1.0362855641542624e-18,3.6113337955612224e-06,1.0362855641542624e-18,0.03780438005924225,0.17825056612491608,31185229053952.0,0.05103040486574173,-0.24333517253398895
c6b66e7c,DSRegPSOPnl,2024-08-24 16:46:21,2:50:02,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=4 nlvls=4,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,4,4,1999505,-0.5,0.5,0.0,151.0,0.2750000059604645,0.21903690695762634,0.1390155851840973,34255793029120.0,22095595569152.0,0.08255543559789658,0.033422019332647324,0.04240831360220909,0.033422019332647324,-1.0283962488174438,0.15960867702960968,2.30099684766989e-18,4.137921678193379e-06,2.30099684766989e-18,0.04240831360220909,0.21903690695762634,34255793029120.0,0.08255543559789658,-1.0283962488174438
3a56f5e6,DSRegPSOPnl,2024-08-24 16:40:15,2:18:32,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=4 nlvls=3,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,4,3,1999505,-1.0771933794021606,1.0771933794021606,0.0,147.0,0.5924563407897949,0.25535234808921814,0.1367918998003006,16848445767680.0,18896190963712.0,0.12364251911640167,0.0324895866215229,10000.0791015625,0.0324895866215229,-1.6139681339263916,0.18305453658103943,0.8149551749229431,0.9852051138877869,1.4869847974469108e-12,10000.0791015625,0.25535234808921814,16848445767680.0,0.12364251911640167,-1.6139681339263916
6c978fc9,DSRegPSOPnl,2024-08-24 15:41:25,1:51:36,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=4 nlvls=2,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,4,2,1999505,-0.49127528071403503,0.49127528071403503,1.0,152.0,0.2702014148235321,0.2185598760843277,0.14521265029907227,25733197987840.0,21203852984320.0,0.07928286492824554,0.032681968063116074,0.03706022724509239,0.03268197178840637,-0.8529989123344421,0.1782170981168747,8.618950460004271e-07,3.5722475786315044e-06,4.133423847372952e-19,0.03706022724509239,0.2185598760843277,25733197987840.0,0.07928286492824554,-0.8529989123344421
0b1c140a,DSRegPSOPnl,2024-08-24 15:25:30,1:20:50,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=4 nlvls=1,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,4,1,1999505,-0.3900323808193207,0.3900323808193207,2.0,158.0,0.21451781690120697,0.1762661337852478,0.1427067667245865,34216704212992.0,21925784977408.0,0.05226077884435654,0.03234943374991417,0.033318597823381424,0.03234943374991417,-0.2888534665107727,0.1865786463022232,4.2495216234783584e-07,3.0346704988915008e-06,2.8468494047857235e-18,0.033318597823381424,0.1762661337852478,34216704212992.0,0.05226077884435654,-0.2888534665107727
d6493a11,DSRegPSOPnl,2024-08-24 14:38:56,2:35:00,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=3 nlvls=4,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,3,4,1999505,-0.64000004529953,0.64000004529953,2.0,159.0,0.35200002789497375,0.1858508586883545,0.14071287214756012,32126852399104.0,21543860043776.0,0.05966614559292793,0.03259486332535744,0.03614077717065811,0.03259486332535744,-0.4355340600013733,0.18040737509727478,1.3975519550513127e-06,3.583465968404198e-06,7.218533063328743e-18,0.03614077717065811,0.1858508586883545,32126852399104.0,0.05966614559292793,-0.4355340600013733
05a7f8dd,DSRegPSOPnl,2024-08-24 14:31:18,2:08:56,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=3 nlvls=3,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,3,3,1999505,-0.8399999737739563,0.8399999737739563,1.0,161.0,0.4620000123977661,0.17441995441913605,0.13920341432094574,40560106668032.0,19700717191168.0,0.04831559956073761,0.03169158101081848,0.049570560455322266,0.03169158101081848,-0.1508723944425583,0.20312026143074036,1.630275733077724e-06,4.7949288273230195e-06,3.3965349100649744e-18,0.049570560455322266,0.17441995441913605,40560106668032.0,0.04831559956073761,-0.1508723944425583
02b03e0d,DSRegPSOPnl,2024-08-24 13:59:53,1:41:32,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=3 nlvls=2,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,3,2,1999505,-1.2799999713897705,1.2799999713897705,1.0,162.0,0.7039999961853027,0.2863970398902893,0.14577257633209229,55936118947840.0,21414352519168.0,0.1437849998474121,0.03251097351312637,0.039991188794374466,0.03251097351312637,-2.27067232131958,0.18251678347587585,3.0755777515878435e-06,3.943048341170652e-06,3.963900366961781e-18,0.039991188794374466,0.2863970398902893,55936118947840.0,0.1437849998474121,-2.27067232131958
75faa644,DSRegPSOPnl,2024-08-24 13:15:10,1:16:07,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.0001 fdmin=1.0e-14 function=6 groups=4 n=5 n_operators=3 nlvls=1,0.04,0.01,3,0.001,0.0001,1e-14,6,4,5,3,1,1999505,-0.36000001430511475,0.36000001430511475,0.0,177.0,0.1979999989271164,0.2336283028125763,0.14141397178173065,40817834065920.0,20345702580224.0,0.09972220659255981,0.032552286982536316,0.04181671142578125,0.032552286982536316,-1.1749035120010376,0.18147794902324677,4.383684029107826e-07,3.985167495557107e-06,3.95565751215769e-18,0.04181671142578125,0.2336283028125763,40817834065920.0,0.09972220659255981,-1.1749035120010376
