run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best,mean_mae,mean_mape,mean_mse,mean_r2
5d1f7342,DSRegPSOPnl,2024-08-27 13:51:13,4:23:15,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=5 nlvls=4,0.04,0.01,3,0.001,10,1e-07,8,4,5,5,4,1999505,-0.8700000047683716,0.8700000047683716,0.0,96.0,0.47850000858306885,0.21805813908576965,0.027104388922452927,326693191680.0,4790222323712.0,0.09517661482095718,0.0013522047083824873,0.013091741129755974,0.0013522048247978091,-0.4752512276172638,0.979324221611023,0.015510112047195435,0.12925094366073608,9.265578755635051e-12,0.013091741129755974,0.21805813908576965,326693191680.0,0.09517661482095718,-0.4752512276172638
f8e2c27e,DSRegPSOPnl,2024-08-27 03:40:55,4:01:50,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=5 nlvls=3,0.04,0.01,3,0.001,10,1e-07,8,4,5,5,3,1999505,-0.2800000011920929,0.2800000011920929,0.0,97.0,0.15399999916553497,0.1622818410396576,0.024586748331785202,131324572598272.0,2120691840.0,0.11634789407253265,0.0010215104557573795,0.09311079978942871,0.0010215104557573795,-0.9109479188919067,0.9843806624412537,0.027505559846758842,0.9168519973754883,2.2079634995342268e-11,0.09311079978942871,0.1622818410396576,131324572598272.0,0.11634789407253265,-0.9109479188919067
832c5756,DSRegPSOPnl,2024-08-27 01:38:12,3:29:54,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=5 nlvls=2,0.04,0.01,3,0.001,10,1e-07,8,4,5,5,2,1999505,-0.3100000023841858,0.3100000023841858,0.0,88.0,0.1704999953508377,0.17771542072296143,0.02185138314962387,6178832646144.0,2829702660096.0,0.06492745876312256,0.0008246696088463068,0.014838660135865211,0.0007887615356594324,-0.35144156217575073,0.9873904585838318,0.008790199644863605,0.14650332927703857,1.6851577425147646e-11,0.014838660135865211,0.17771542072296143,6178832646144.0,0.06492745876312256,-0.35144156217575073
bfc016b2,DSRegPSOPnl,2024-08-27 01:09:58,2:30:56,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=5 nlvls=1,0.04,0.01,3,0.001,10,1e-07,8,4,5,5,1,1999505,-0.6497116088867188,0.6497116088867188,2.0,97.0,0.35734137892723083,0.14116321504116058,0.019331540912389755,3092569653248.0,170616881152.0,0.03572535514831543,0.0007248443434946239,0.008857237175107002,0.0007212578784674406,0.2932974398136139,0.98891681432724,0.03388533741235733,0.0847744569182396,2.5062441271622715e-12,0.008857237175107002,0.14116321504116058,3092569653248.0,0.03572535514831543,0.2932974398136139
4758ed0a,DSRegPSOPnl,2024-08-27 00:34:11,4:54:17,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=4 nlvls=4,0.04,0.01,3,0.001,10,1e-07,8,4,5,4,4,1999505,-0.3199999928474426,0.3199999928474426,0.0,99.0,0.17599999904632568,0.17324239015579224,0.0361836701631546,1.1084277629852295,2066692440064.0,0.0602094903588295,0.002374041825532913,0.02191546931862831,0.0020927125588059425,0.03487255796790123,0.9636999368667603,0.014844675548374653,0.21206678450107574,1.8546395322283082e-11,0.02191546931862831,0.17324239015579224,1.1084277629852295,0.0602094903588295,0.03487255796790123
31e20720,DSRegPSOPnl,2024-08-27 00:24:46,4:08:29,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=4 nlvls=3,0.04,0.01,3,0.001,10,1e-07,8,4,5,4,3,1999505,-0.9400522708892822,0.9400522708892822,0.0,92.0,0.5170287489891052,0.17293401062488556,0.03349694609642029,0.9754039645195007,5650421121024.0,0.061755917966365814,0.0033361189998686314,0.003998792264610529,0.0016153417527675629,0.03582614287734032,0.9489893317222595,0.027292020618915558,0.03955065831542015,2.786379850808207e-12,0.003998792264610529,0.17293401062488556,0.9754039645195007,0.061755917966365814,0.03582614287734032
074ed81c,DSRegPSOPnl,2024-08-26 22:22:09,3:16:02,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=4 nlvls=2,0.04,0.01,3,0.001,10,1e-07,8,4,5,4,2,1999505,-0.5099999904632568,0.5099999904632568,0.0,84.0,0.28049999475479126,0.12223747372627258,0.022597378119826317,0.6377309560775757,2683920711680.0,0.053612057119607925,0.0009437281405553222,0.007690754719078541,0.0009437281987629831,0.24125924706459045,0.9855700135231018,0.019508158788084984,0.07503137737512589,1.918638425218999e-12,0.007690754719078541,0.12223747372627258,0.6377309560775757,0.053612057119607925,0.24125924706459045
eaa3b6bc,DSRegPSOPnl,2024-08-26 22:09:37,2:24:32,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=4 nlvls=1,0.04,0.01,3,0.001,10,1e-07,8,4,5,4,1,1999505,-0.5102033019065857,0.5102033019065857,0.0,109.0,0.2806118130683899,0.14140933752059937,0.02157176099717617,2793020850176.0,6189645824.0,0.039002664387226105,0.0009319778764620423,0.003269957611337304,0.0009319778764620423,0.19700634479522705,0.9857496619224548,0.008312427438795567,0.03194589540362358,2.779241680544997e-12,0.003269957611337304,0.14140933752059937,2793020850176.0,0.039002664387226105,0.19700634479522705
b18c83ad,DSRegPSOPnl,2024-08-26 20:38:53,4:31:04,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=3 nlvls=4,0.04,0.01,3,0.001,10,1e-07,8,4,5,3,4,1999505,-0.46000000834465027,0.46000000834465027,0.0,97.0,0.2529999911785126,0.20105083286762238,0.021817442029714584,1795793485824.0,3377214783488.0,0.08499562740325928,0.0008534419466741383,0.12755998969078064,0.0008023084956221282,-0.3799799978733063,0.9869505167007446,0.2647964656352997,1.2609355449676514,3.319017630176724e-11,0.12755998969078064,0.20105083286762238,1795793485824.0,0.08499562740325928,-0.3799799978733063
bf5bb248,DSRegPSOPnl,2024-08-26 20:36:59,3:47:45,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=3 nlvls=3,0.04,0.01,3,0.001,10,1e-07,8,4,5,3,3,1999505,-0.6194664239883423,0.6194664239883423,0.0,93.0,0.3407065272331238,0.11261826753616333,0.027065251022577286,2686183800832.0,4406232219648.0,0.037291139364242554,0.0013229853939265013,0.002042272826656699,0.0011654148111119866,0.35177361965179443,0.9797710180282593,0.0073340581730008125,0.01985040493309498,5.1477563531299175e-12,0.002042272826656699,0.11261826753616333,2686183800832.0,0.037291139364242554,0.35177361965179443
0ee0802b,DSRegPSOPnl,2024-08-26 19:19:47,3:02:22,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=3 nlvls=2,0.04,0.01,3,0.001,10,1e-07,8,4,5,3,2,1999505,-0.690000057220459,0.690000057220459,0.0,104.0,0.37950003147125244,0.2248961627483368,0.022319985553622246,1.2327306270599365,2926325530624.0,0.1711624562740326,0.0009306135470978916,0.006606489885598421,0.000891359057277441,-1.8456071615219116,0.9857705235481262,0.028230883181095123,0.06416108459234238,6.059375657480048e-12,0.006606489885598421,0.2248961627483368,1.2327306270599365,0.1711624562740326,-1.8456071615219116
d5b386b2,DSRegPSOPnl,2024-08-26 18:15:38,2:23:14,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=3 nlvls=1,0.04,0.01,3,0.001,10,1e-07,8,4,5,3,1,1999505,-0.46000000834465027,0.46000000834465027,0.0,144.0,0.2529999911785126,0.18199338018894196,0.025836080312728882,3925615312896.0,14540511232.0,0.05699418857693672,0.0013401302276179194,0.05173872783780098,0.0013360311277210712,0.12853527069091797,0.9795088768005371,0.0827334001660347,0.3939685821533203,1.322239540080261e-10,0.05173872783780098,0.11489833146333694,11398761414656.0,0.020081035792827606,0.6524590849876404
c85fe5c0,DSRegPSOPnl,2024-08-26 18:09:01,4:00:35,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=2 nlvls=4,0.04,0.01,3,0.001,10,1e-07,8,4,5,2,4,1999505,-1.6200000047683716,1.6200000047683716,0.0,98.0,0.890999972820282,0.10586346685886383,0.03203091770410538,19452155904.0,1691552841728.0,0.030160201713442802,0.0015072266105562449,0.0019310732604935765,0.0014903105329722166,0.5032962560653687,0.9769538640975952,0.016641611233353615,0.019128287211060524,4.031638304452523e-12,0.0019310732604935765,0.10586346685886383,19452155904.0,0.030160201713442802,0.5032962560653687
df2447df,DSRegPSOPnl,2024-08-26 17:13:15,3:23:43,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=2 nlvls=3,0.04,0.01,3,0.001,10,1e-07,8,4,5,2,3,1999505,-0.6387649774551392,0.6387649774551392,1.0,105.0,0.351320743560791,0.16623885929584503,0.022252405062317848,1461759377408.0,2328779816960.0,0.07496700435876846,0.0007637844537384808,0.027458013966679573,0.0007561947568319738,0.000945693755056709,0.9883214235305786,0.1064160093665123,0.2737283706665039,1.0098226942145683e-11,0.027458013966679573,0.16623885929584503,1461759377408.0,0.07496700435876846,0.000945693755056709
a4522def,DSRegPSOPnl,2024-08-26 15:24:43,2:50:54,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=2 nlvls=2,0.04,0.01,3,0.001,10,1e-07,8,4,5,2,2,1999505,-0.47999998927116394,0.47999998927116394,0.0,116.0,0.2639999985694885,0.1917971521615982,0.018841682001948357,1.6691218614578247,421051072512.0,0.08987415581941605,0.0006237119669094682,0.038609594106674194,0.0006237120251171291,-0.1884990930557251,0.9904631972312927,0.0877709612250328,0.3816128671169281,1.093890169417966e-12,0.038609594106674194,0.1917971521615982,1.6691218614578247,0.08987415581941605,-0.1884990930557251
949c9fc2,DSRegPSOPnl,2024-08-26 14:59:22,2:13:52,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=4 n=5 n_operators=2 nlvls=1,0.04,0.01,3,0.001,10,1e-07,8,4,5,2,1,1999505,-0.2800000011920929,0.2800000011920929,0.0,167.0,0.15399999916553497,0.08970309793949127,0.02417691983282566,0.836408793926239,1963059445760.0,0.01495674904435873,0.0009537187870591879,0.017181867733597755,0.0009537189034745097,0.7410649657249451,0.9854172468185425,0.005028571467846632,0.16761904954910278,1.5819558120064303e-12,0.017181867733597755,0.08970309793949127,0.836408793926239,0.01495674904435873,0.7410649657249451
d93eb8ab,DSRegPSOPnl,2024-08-26 14:34:56,4:44:49,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=10 fdmin=1.0e-07 function=8 groups=3 n=5 n_operators=5 nlvls=4,0.04,0.01,3,0.001,10,1e-07,8,3,5,5,4,1999505,-0.3601071536540985,0.3601071536540985,0.0,104.0,0.19805893301963806,0.17154018580913544,0.020508864894509315,1.194279670715332,1349252284416.0,0.06127641350030899,0.000783593684900552,0.044007860124111176,0.0007753564859740436,-0.055733874440193176,0.9880185127258301,0.04743416979908943,0.43080008029937744,1.2127431003872147e-11,0.044007860124111176,0.17154018580913544,1.194279670715332,0.06127641350030899,-0.055733874440193176
