groups,n_operators,nlvls,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved
2.0,4.0,2.0,7.592364470241752e-16,1.366944020210256e-16,2.045841464837781e-30,2.6531042987554265e-12,1.0
1.0,2.0,1.0,2.107407808303833,0.7700527310371399,6.0704121589660645,6.0704121589660645,0.5188087821006775
3.0,4.0,1.0,8.032982805161737e-06,3.065101736865472e-06,8.587332234188949e-11,8.852642924273013e-11,1.0
2.0,3.0,4.0,6.575649877049727e-06,4.127278771193232e-06,5.5452847175230247e-11,5.8105950606623935e-11,1.0
2.0,5.0,2.0,1.9181063635187456e-06,1.1316442396491766e-06,3.679132519474049e-12,6.332236818229475e-12,1.0
1.0,3.0,4.0,8.5399005911313e-06,3.252377382523264e-06,9.717910504081217e-11,9.983220500275891e-11,1.0
4.0,4.0,1.0,7.4258141466998495e-06,4.7839662329351995e-06,8.007933899323305e-11,8.273244589407369e-11,1.0
3.0,5.0,3.0,6.131675036158413e-06,3.6028638987772865e-06,5.3931862448175494e-11,5.658496587956918e-11,1.0
4.0,3.0,3.0,7.549369911430404e-07,1.1486019246831347e-07,1.025018286394952e-12,3.67812291041103e-12,1.0
1.0,5.0,4.0,7.789281880832277e-06,4.5955198402225506e-06,6.067291807854147e-11,6.332601804048821e-11,1.0
4.0,3.0,4.0,0.13205549120903015,0.08853854984045029,0.026607263833284378,0.026607263833284378,0.9978908896446228
3.0,5.0,2.0,1.4105584105264524e-12,8.209405377712642e-13,2.9286275724017336e-24,2.6531042987554265e-12,1.0
1.0,2.0,4.0,6.430838311644038e-06,1.1632546375039965e-06,6.815743108790073e-11,7.081053798874137e-11,1.0
1.0,5.0,2.0,3.412800641047764e-13,2.0129714952202282e-13,1.1647346376313578e-25,2.6531042987554265e-12,1.0
4.0,5.0,1.0,5.364654498407617e-06,3.074695086979773e-06,3.4933941156500836e-11,3.7587044587894525e-11,1.0
1.0,4.0,4.0,2.2662461560685188e-06,8.630886441096663e-07,6.843549598539722e-12,9.496655198337756e-12,1.0
3.0,3.0,3.0,8.444823833997361e-06,4.982276095688576e-06,7.131504414781276e-11,7.396814410975949e-11,1.0
1.0,4.0,3.0,8.48476429382572e-06,2.3090992726793047e-06,9.592832084237557e-11,9.85814208043223e-11,1.0
1.0,4.0,2.0,9.162115044850983e-16,1.000600616161546e-16,3.218983886562943e-30,2.6531042987554265e-12,1.0
3.0,4.0,3.0,8.950473784352653e-06,4.887850536761107e-06,9.539313783335501e-11,9.804624473419565e-11,1.0
2.0,3.0,2.0,4.5324567666746307e-13,2.5983509506326274e-13,2.493352416613019e-25,2.6531042987554265e-12,1.0
2.0,2.0,4.0,1.789820544217946e-06,1.0559581369307125e-06,3.2034574645734004e-12,5.856561763328827e-12,1.0
4.0,2.0,3.0,6.3995112213888206e-06,3.6394426388142165e-06,5.197303004633724e-11,5.462613347773093e-11,1.0
4.0,4.0,3.0,0.04594101011753082,0.028332484886050224,0.0034549019765108824,0.0034549019765108824,0.9997261166572571
1.0,3.0,2.0,4.8433612391818315e-06,1.8445692830937332e-06,3.125798578307304e-11,3.391108921446673e-11,1.0
1.0,5.0,3.0,3.750782298084232e-06,1.4284661347119254e-06,1.8746100158284484e-11,2.1399203589678173e-11,1.0
4.0,5.0,4.0,0.0075410595163702965,0.004401423968374729,7.072743028402328e-05,7.072743028402328e-05,0.9999943971633911
3.0,2.0,1.0,8.347479706571903e-06,3.26029589814425e-06,9.397393974097668e-11,9.662703970292341e-11,1.0
1.0,2.0,3.0,7.041252047201851e-06,3.3596866160223726e-06,7.375726418512585e-11,7.641037108596649e-11,1.0
2.0,5.0,3.0,3.1322231279773405e-06,1.7952004327526083e-06,1.1909010236288431e-11,1.456211366768212e-11,1.0
2.0,4.0,4.0,0.008004232309758663,0.006035950500518084,8.26273244456388e-05,8.262733172159642e-05,0.9999934434890747
4.0,3.0,1.0,3.873411515087355e-06,2.285235041199485e-06,1.5003318032391633e-11,1.765642146378532e-11,1.0
3.0,2.0,3.0,5.188237082620617e-06,2.4900298285501776e-06,7.980784783034878e-11,8.246095473118942e-11,1.0
3.0,3.0,2.0,7.026232651696773e-06,4.145335879002232e-06,4.936794376075859e-11,5.202104719215228e-11,1.0
3.0,4.0,2.0,8.602723937656265e-06,4.930559953209013e-06,8.983302296483586e-11,9.24861229267826e-11,1.0
2.0,5.0,4.0,0.023101598024368286,0.013279329985380173,0.0007596170762553811,0.0007596170762553811,0.9999397993087769
2.0,2.0,3.0,8.604611139162444e-06,4.90370348416036e-06,9.333409045630958e-11,9.598719735715022e-11,1.0
2.0,2.0,2.0,7.824643668389339e-16,1.2758330535877452e-16,2.1538665744919072e-30,2.6531042987554265e-12,1.0
3.0,2.0,2.0,6.822302596985741e-13,4.024586653522677e-13,4.654406051586871e-25,2.6531042987554265e-12,1.0
4.0,2.0,2.0,1.6123699424497318e-06,1.6554270132473903e-06,5.440688264496396e-12,8.093792996932692e-12,1.0
