run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best
653fcbf8,DSRegPSOPnl,11/07/2024 21:17,07:33:18,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=4 n=200 n_operators=5 nlvls=4,0.04,0.01,3,0.001,0.01,1.00E-12,1,4,200,5,4,19980200,-17.10000038,17.10000038,0,20,0.940500021,2.687076092,0.00754106,0.607449293,0.004401424,11.92507458,7.07E-05,11.92507458,7.07E-05,0.054719668,0.999994397,1.111908317,1.158237815,4.87E-13,11.92507458
f440ea98,DSRegPSOPnl,11/07/2024 21:17,05:39:53,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=4 n=200 n_operators=5 nlvls=3,0.04,0.01,3,0.001,0.01,1.00E-12,1,4,200,5,3,19980200,-9,9,1,23,0.495000005,0.03180667,0.012367675,0.01800207,0.006554299,0.001543158,0.000207099,0.001543158,0.000207099,0.999877691,0.999983609,2.17E-05,0.000144647,1.50E-17,0.001543158
e26e2a20,DSRegPSOPnl,11/07/2024 18:23,03:31:00,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=4 n=200 n_operators=5 nlvls=2,0.04,0.01,3,0.001,0.01,1.00E-12,1,4,200,5,2,19980200,-12.33795166,12.33795166,0,31,0.678587317,0.192143753,0.003251328,0.112493858,0.001796578,0.062613584,1.51E-05,0.062613584,1.51E-05,0.995036721,0.999998808,0.005724612,0.005818907,4.51E-15,0.062613584
4890410f,DSRegPSOPnl,11/07/2024 18:22,00:00:35,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=4 n=200 n_operators=5 nlvls=1,0.04,0.01,3,0.001,0.01,1.00E-12,1,4,200,5,1,91400,-4.099999905,4.099999905,0,0,0.225500003,5.36E-06,5.36E-06,3.07E-06,3.07E-06,3.49E-11,3.49E-11,3.758704901,3.76E-11,1,1,2.08E-12,1.30E-11,1.32E-23,3.758704901
f6bbf4f8,DSRegPSOPnl,11/07/2024 16:20,06:40:03,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=4 n=200 n_operators=4 nlvls=4,0.04,0.01,3,0.001,0.01,1.00E-12,1,4,200,4,4,19980200,-12.39999962,12.39999962,1,26,0.681999981,2.405425549,0.259634286,1.233406782,0.200371355,9.280586243,0.096662007,9.280586243,0.096662007,0.264343798,0.992337763,0.91818732,0.927461922,6.52E-13,9.280586243
602ba38e,DSRegPSOPnl,11/07/2024 13:32,04:50:21,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=4 n=200 n_operators=4 nlvls=3,0.04,0.01,3,0.001,0.01,1.00E-12,1,4,200,4,3,19980200,-4.900000095,4.900000095,0,29,0.269499987,2.38361907,0.04594101,0.654313087,0.028332485,8.984578133,0.003454902,8.984578133,0.003454902,0.287807792,0.999726117,0.191458747,0.797744811,4.68E-13,8.984578133
c2c9f617,DSRegPSOPnl,11/07/2024 13:31,02:48:26,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=4 n=200 n_operators=4 nlvls=2,0.04,0.01,3,0.001,0.01,1.00E-12,1,4,200,4,2,17631400,-8.100000381,8.100000381,0,38,0.445499986,6.67E-06,6.67E-06,3.94E-06,3.94E-06,4.45E-11,4.45E-11,4.718194962,4.72E-11,1,1,1.84E-09,3.28E-09,4.06E-21,4.718194962
f6868303,DSRegPSOPnl,11/07/2024 10:53,06:17:17,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=3 n=200 n_operators=5 nlvls=4,0.04,0.01,3,0.001,0.01,1.00E-12,1,3,200,5,4,19980200,-8.70234108,8.70234108,0,30,0.478628755,1.774882555,0.000816683,0.795630991,0.000397966,5.222254276,1.03E-06,5.222254276,1.03E-06,0.586040795,0.99999994,0.318881035,0.514130116,3.04E-13,5.222254276
9b9a6d2b,DSRegPSOPnl,11/07/2024 10:52,02:26:26,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=4 n=200 n_operators=2 nlvls=4,0.04,0.01,3,0.001,0.01,1.00E-12,1,4,200,2,4,10114200,-13.80000019,13.80000019,0,16,0.759000003,3.99E-06,3.99E-06,2.04E-06,2.04E-06,2.50E-11,2.50E-11,2.766608,2.77E-11,1,1,9.27E-12,1.47E-11,1.71E-23,2.766608
37c37cc7,DSRegPSOPnl,11/07/2024 10:52,05:58:52,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=1 groups=4 n=200 n_operators=3 nlvls=4,0.04,0.01,3,0.001,0.01,1.00E-12,1,4,200,3,4,19980200,-10.60441685,10.60441685,0,26,0.583242953,4.306135178,0.132055491,2.365583897,0.08853855,26.8425312,0.026607264,26.8425312,0.026607264,-1.127761602,0.99789089,2.044369698,2.52253747,1.34E-13,26.8425312
