groups,n_operators,nlvls,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
3.0,3.0,2.0,0.06079452484846115,0.01417224109172821,0.004950454458594322,0.004950454458594322,0.9943729639053345,12214.4765625
4.0,4.0,4.0,0.10643307864665985,0.022946851328015327,0.019784491509199142,0.019784491509199142,0.9775115251541138,34769.87890625
3.0,3.0,1.0,0.13605451583862305,0.031963929533958435,0.02229815162718296,0.02229815162718296,0.9746543169021606,7878.1728515625
4.0,5.0,1.0,0.1461273431777954,0.03939198702573776,0.030527766793966293,0.030527766793966293,0.9652999639511108,10462.4912109375
4.0,4.0,2.0,0.16057637333869934,0.04759310558438301,0.036859724670648575,0.036859724670648575,0.9581025838851929,16415.09375
2.0,3.0,1.0,0.16860558092594147,0.05060119926929474,0.04185609519481659,0.04185609519481659,0.9524233937263489,6706.048828125
1.0,4.0,2.0,0.16738228499889374,0.05027267709374428,0.04362122341990471,0.04362122341990471,0.9504169821739197,7939.81787109375
4.0,2.0,1.0,0.16111837327480316,0.03701041266322136,0.04699143394827843,0.04699143394827843,0.9465861916542053,7960.56982421875
4.0,3.0,1.0,0.1601557731628418,0.0348268523812294,0.06104126200079918,0.06104126200079918,0.9306161403656006,8839.619140625
1.0,5.0,3.0,0.20217595994472504,0.06523527950048447,0.06549301743507385,0.06549301743507385,0.925555944442749,11253.533203125
3.0,4.0,1.0,0.20302221179008484,0.06432109326124191,0.06738430261611938,0.06738430261611938,0.923406183719635,8323.9541015625
3.0,4.0,3.0,0.22084566950798035,0.054895270615816116,0.07232349365949631,0.07232349365949631,0.9177919626235962,20391.78125
2.0,5.0,1.0,0.2404610812664032,0.06716974824666977,0.09235313534736633,0.09235313534736633,0.895024836063385,7474.89892578125
3.0,2.0,3.0,0.2078079730272293,0.04623398929834366,0.09250533580780029,0.09250533580780029,0.894851803779602,14648.51953125
3.0,2.0,2.0,0.24481767416000366,0.06999172270298004,0.09351122379302979,0.09351122379302979,0.8937084674835205,10555.267578125
2.0,4.0,1.0,0.24325460195541382,0.07119609415531158,0.09623397886753082,0.09623397886753082,0.8906136155128479,7016.48193359375
3.0,5.0,1.0,0.23754554986953735,0.056055113673210144,0.09636114537715912,0.09636114537715912,0.8904690146446228,8919.6884765625
3.0,3.0,3.0,0.24110746383666992,0.07422782480716705,0.09648654609918594,0.09648654609918594,0.8903264999389648,17910.3671875
4.0,2.0,2.0,0.24156256020069122,0.051314450800418854,0.0995752289891243,0.0995752289891243,0.8868156671524048,12442.4990234375
3.0,4.0,2.0,0.24180889129638672,0.07086775451898575,0.10034460574388504,0.10034460574388504,0.8859411478042603,13496.2236328125
4.0,2.0,4.0,0.2173403650522232,0.06984637677669525,0.1003507450222969,0.1003507450222969,0.8859341740608215,24456.322265625
1.0,5.0,1.0,0.24239742755889893,0.054019372910261154,0.10208100080490112,0.10208100080490112,0.8839674592018127,6138.33984375
