run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,noise_c,noise_x,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best
ca0147c2,DSRegPSOPnl,2024-07-27 20:11:24,3:12:45,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0.25 noise_x=0,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0.25,0,19980200,-3.9000000953674316,3.9000000953674316,0.0,35.0,0.21449999511241913,7305424.0,857.336669921875,29132.26171875,0.1169104278087616,223558080921600.0,2453783.5,169943383408640.0,1855353.0,-685.3768310546875,0.9999998211860657,0.021475426852703094,0.1533959060907364,6.279528221193875e-14,169943383408640.0
b9cac012,DSRegPSOPnl,2024-07-27 20:10:52,3:12:51,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0.15 noise_x=0,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0.15,0,19980200,-2.5999999046325684,2.5999999046325684,0.0,36.0,0.14300000667572021,5095386.5,763.452392578125,1.0087132453918457,0.10361861437559128,188935946895360.0,1910867.5,170859603951616.0,1625296.625,-0.05999355390667915,0.9999998211860657,0.0016206437721848488,0.16206438839435577,4.9310324568138317e-14,170859603951616.0
555c9e8c,DSRegPSOPnl,2024-07-27 16:51:13,3:19:39,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0.1 noise_x=0,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0.1,0,19980200,-3.9000000953674316,3.9000000953674316,0.0,36.0,0.21449999511241913,18477.330078125,770.1973876953125,3.1628527641296387,0.16803084313869476,995242240.0,1644861.625,920668800.0,1489812.875,0.9970014691352844,0.9999998807907104,1.1920538867116193e-07,8.51467063966993e-07,7.031916671040987e-19,920668800.0
3379fa58,DSRegPSOPnl,2024-07-27 16:50:19,3:21:04,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0.05 noise_x=0,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0.05,0,19980200,-2.9000000953674316,2.9000000953674316,0.0,32.0,0.15950000286102295,153006.171875,537.2837524414062,2946.97802734375,0.3216962516307831,37218295808.0,827849.0,35631243264.0,796006.1875,0.6918641328811646,1.0,1.320491492151632e-06,3.301228571217507e-05,2.7104701933196663e-17,35631243264.0
4a045a6d,DSRegPSOPnl,2024-07-27 16:50:08,3:22:14,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0 noise_x=0,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0,0,19980200,-6.399101734161377,6.399101734161377,0.0,36.0,0.35195058584213257,101743.78125,219.69696044921875,1231.380859375,0.3069039285182953,30304569344.0,94560.28125,30304589824.0,94560.28125,0.8481375575065613,1.0,1.1697704394464381e-05,3.0001021514181048e-05,5.897496260169812e-18,30304589824.0
4fedb4d2,DSRegPSOPnl,2024-07-27 16:48:10,3:24:53,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0.0 noise_x=0.25,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0.0,0.25,19980200,-17.100000381469727,17.100000381469727,1.0,78.0,0.940500020980835,5097782.5,88467.0078125,6083.373046875,0.5417344570159912,95592525070336.0,38755078144.0,95592525070336.0,38755098624.0,-3.050215244293213,0.9998297095298767,0.09176882356405258,0.09559252113103867,3.145009955045873e-14,95592525070336.0
61dfbc40,DSRegPSOPnl,2024-07-27 13:32:17,3:18:02,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0.0 noise_x=0.15,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0.0,0.15,19980200,-3.200000047683716,3.200000047683716,0.0,70.0,0.17599999904632568,5307111.0,25764.2578125,55.02313232421875,0.6170483827590942,146149264588800.0,4922269696.0,146149264588800.0,4922279424.0,-1947.886962890625,0.999614417552948,0.01023044902831316,0.14614926278591156,6.683768935446949e-14,146149264588800.0
b79a8c50,DSRegPSOPnl,2024-07-27 13:32:10,3:19:02,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0.0 noise_x=0.1,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0.0,0.1,19980200,-7.199999809265137,7.199999809265137,0.0,67.0,0.3959999978542328,5951617.5,24509.03515625,14.183307647705078,82.58289337158203,154694034915328.0,3275951872.0,154694034915328.0,3275971840.0,-3366.40380859375,0.9999440312385559,0.03301473706960678,0.15006698668003082,3.027518692558587e-14,154694034915328.0
86f6734e,DSRegPSOPnl,2024-07-27 13:31:59,3:18:08,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0.0 noise_x=0.05,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0.0,0.05,19980200,-20.0,20.0,1.0,52.0,1.100000023841858,1734955.375,10640.2802734375,38.063133239746094,0.09923664480447769,9713015062528.0,525572320.0,9713015062528.0,525592320.0,0.9553422927856445,0.9999901056289673,0.00961391068994999,0.00961391068994999,2.1152818266510082e-14,9713015062528.0
bf53057d,DSRegPSOPnl,2024-07-27 13:31:47,3:16:22,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1.0e-16 fdmin=1.0e-26 function=9 groups=2 n=200 n_operators=4 nlvls=4 noise_c=0.0 noise_x=0,0.04,0.01,3,0.001,1e-16,1e-26,9,2,200,4,4,0.0,0,19980200,-6.399101734161377,6.399101734161377,0.0,36.0,0.35195058584213257,101743.78125,219.69696044921875,1231.380859375,0.3069039285182953,30304569344.0,94560.28125,30304589824.0,94560.28125,0.8481375575065613,1.0,1.1697704394464381e-05,3.0001021514181048e-05,5.897496260169812e-18,30304589824.0
