run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,noise_c,noise_x,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best
b5b57719,DSRegPSOPnl,2024-07-19 23:34:41,5:02:15,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0.25 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0.25,0,19980200,-13.399999618530273,13.399999618530273,0.0,48.0,0.3684999942779541,1.033274531364441,0.7784472703933716,0.14085952937602997,0.10435067117214203,1.9430625438690186,0.967398464679718,1.4575680494308472,0.7257074117660522,0.5128915905952454,0.6453689932823181,0.11300091445446014,0.2690497934818268,5.742638894794261e-13,1.4575680494308472
8956f7d1,DSRegPSOPnl,2024-07-19 23:32:42,5:02:37,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0.15 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0.15,0,19980200,-24.399999618530273,24.399999618530273,1.0,45.0,0.6710000038146973,1.2708709239959717,0.72352534532547,0.18953819572925568,0.08714581280946732,2.8928401470184326,0.8329014778137207,2.4600136280059814,0.7082434892654419,0.03493481129407883,0.45546865463256836,0.3360723853111267,0.46676722168922424,3.7864871828274804e-13,2.4600136280059814
15a59ad2,DSRegPSOPnl,2024-07-19 18:35:34,5:08:00,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0.1 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0.1,0,19980200,-24.799999237060547,24.799999237060547,1.0,53.0,0.6819999814033508,1.4649410247802734,0.5961637496948242,0.20938338339328766,0.07214687764644623,3.429492712020874,0.5696927309036255,3.086993455886841,0.512734055519104,-0.4210394620895386,0.6558555364608765,0.14376136660575867,0.5990056991577148,2.3202854568249442e-12,3.086993455886841
a9eea12e,DSRegPSOPnl,2024-07-19 18:31:17,5:08:23,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0.05 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0.05,0,19980200,-34.20000076293945,34.20000076293945,0.0,58.0,0.940500020980835,1.020971417427063,0.9088912606239319,0.1320260912179947,0.12446331232786179,1.7634551525115967,1.3504528999328613,1.6808342933654785,1.2831552028656006,-0.17625655233860016,0.5927128791809082,0.30102378129959106,0.3135664463043213,8.328680491586846e-14,1.6808342933654785
50308824,DSRegPSOPnl,2024-07-19 18:18:52,5:15:49,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0,0,19980200,-17.59726333618164,17.59726333618164,0.0,51.0,0.4839247465133667,1.508807897567749,0.48553040623664856,0.19540776312351227,0.05901120975613594,3.474804401397705,0.37616607546806335,3.474804401397705,0.37616607546806335,-1.0063340663909912,0.8035340905189514,0.22129076719284058,0.5825539231300354,4.243887955900777e-13,3.474804401397705
ccc43db0,DSRegPSOPnl,2024-07-19 18:16:31,5:16:11,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0.0 noise_x=0.25,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0.0,0.25,19980200,-24.0,24.0,0.0,81.0,0.6600000262260437,1.7274106740951538,1.390993356704712,0.2558104395866394,0.1810697764158249,4.763718128204346,2.8152692317962646,4.763718128204346,2.8152692317962646,-0.3514323830604553,-0.44657301902770996,0.19054873287677765,0.952743649482727,7.817094953115056e-14,4.763718128204346
39963bc4,DSRegPSOPnl,2024-07-19 13:25:10,5:10:23,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0.0 noise_x=0.15,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0.0,0.15,19980200,-24.399999618530273,24.399999618530273,0.0,78.0,0.6710000038146973,1.915883183479309,1.2644963264465332,0.2686508297920227,0.16523630917072296,5.618082046508789,2.4915153980255127,5.618082046508789,2.4915153980255127,-1.202405571937561,-0.5127504467964172,0.6914364695549011,0.9603284001350403,4.913743023582384e-13,5.618082046508789
6ed7f59d,DSRegPSOPnl,2024-07-19 13:20:33,5:10:43,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0.0 noise_x=0.1,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0.0,0.1,19980200,-31.200000762939453,31.200000762939453,2.0,74.0,0.8579999804496765,1.4913054704666138,1.089802622795105,0.19918394088745117,0.14427264034748077,3.3844406604766846,1.951668620109558,3.3844406604766846,1.951668620109558,-0.9150754809379578,0.34704312682151794,0.5327699184417725,0.657740592956543,7.786811560134277e-13,3.3844406604766846
0cc5625e,DSRegPSOPnl,2024-07-19 13:05:16,5:11:14,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0.0 noise_x=0.05,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0.0,0.05,19980200,-24.799999237060547,24.799999237060547,0.0,52.0,0.6819999814033508,0.908327043056488,0.6262387037277222,0.1148037314414978,0.08231030404567719,1.4613826274871826,0.6441158056259155,1.4613826274871826,0.6441158056259155,-0.015706930309534073,0.6800468564033508,0.06859330832958221,0.28580543398857117,6.889346948826813e-13,1.4613826274871826
b69a9669,DSRegPSOPnl,2024-07-19 13:04:56,5:13:55,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=0.01 fdmin=1.0e-12 function=4 groups=4 n=200 n_operators=2 nlvls=2 noise_c=0.0 noise_x=0,0.04,0.01,3,0.001,0.01,1e-12,4,4,200,2,2,0.0,0,19980200,-17.59726333618164,17.59726333618164,0.0,51.0,0.4839247465133667,1.508807897567749,0.48553040623664856,0.19540776312351227,0.05901120975613594,3.474804401397705,0.37616607546806335,3.474804401397705,0.37616607546806335,-1.0063340663909912,0.8035340905189514,0.22129076719284058,0.5825539231300354,4.243887955900777e-13,3.474804401397705
