run,operation,started,time,status,label,Smax,Smin,Sslimit,dseta,fdmax,fdmin,function,groups,n,n_operators,nlvls,noise_c,noise_x,step,LSl,LSu,SScounter,SSresets,Total_Moment,current_MAE,current_MAE_saved,current_MAPE,current_MAPE_saved,current_MSE,current_MSE_saved,current_best_cost,current_best_cost_saved,current_r2,current_r2_saved,delta,deltamax,deltamin,global_best
9cd899ea,DSRegPSOPnl,2024-07-20 21:25:17,1:22:54,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0.25 noise_x=0,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0.25,0,19980200,-8.600000381469727,8.600000381469727,0.0,73.0,0.4729999899864197,0.07849527895450592,0.013836202211678028,0.08234978467226028,0.01424429751932621,0.010307341814041138,0.0002836326602846384,0.007734278216958046,0.00021281474619172513,-8.629051208496094,0.8184762001037598,0.04203975200653076,0.06891762465238571,1.8166043213967142e-13,0.007734278216958046
3bde85f4,DSRegPSOPnl,2024-07-20 21:23:53,1:23:53,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0.15 noise_x=0,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0.15,0,19980200,-7.5,7.5,0.0,77.0,0.4124999940395355,0.07380988448858261,0.028002778068184853,0.07743027061223984,0.02890443243086338,0.009095312096178532,0.0018101857276633382,0.007732513826340437,0.0015387347666546702,-0.01457812637090683,0.7994868755340576,0.034168120473623276,0.06833624094724655,7.618955921891157e-13,0.007732513826340437
89164742,DSRegPSOPnl,2024-07-20 19:46:01,1:39:22,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0.1 noise_x=0,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0.1,0,19980200,-5.800000190734863,5.800000190734863,0.0,78.0,0.3190000057220459,0.04212424159049988,0.031751323491334915,0.043431613594293594,0.03308458998799324,0.002870603697374463,0.0019746548496186733,0.0025843943003565073,0.0017773460131138563,-1.8071573972702026,-0.022280758246779442,0.008480047807097435,0.025697113946080208,3.409745088275157e-13,0.0025843943003565073
f7b8b8c6,DSRegPSOPnl,2024-07-20 19:45:51,1:39:28,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0.05 noise_x=0,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0.05,0,19980200,-2.799999952316284,2.799999952316284,0.0,78.0,0.15399999916553497,0.09634368121623993,0.01769270747900009,0.10231057554483414,0.018080469220876694,0.017175670713186264,0.0005120703135617077,0.016435524448752403,0.00048646816867403686,-8.529675483703613,0.8574028611183167,0.004689966328442097,0.15633220970630646,6.666238063944216e-14,0.016435524448752403
dfbac1bb,DSRegPSOPnl,2024-07-20 19:44:34,1:40:42,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0 noise_x=0,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0,0,19980200,-3.3998730182647705,3.3998730182647705,1.0,78.0,0.18699301779270172,0.0792917013168335,1.46344047990965e-10,0.08280805498361588,1.5381597384678258e-10,0.009969240985810757,5.0381118649335667e-20,0.009969241917133331,1.180869568795373e-10,-1.769031047821045,1.0,0.00870879739522934,0.09677806496620178,3.1967199612230324e-13,0.009969241917133331
fab5a52a,DSRegPSOPnl,2024-07-20 19:44:15,1:39:38,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.25,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0.0,0.25,19980200,-2.5999999046325684,2.5999999046325684,1.0,82.0,0.14300000667572021,0.0963115245103836,0.03956412896513939,0.09837496280670166,0.04104872792959213,0.012722996063530445,0.0026202222798019648,0.01272299699485302,0.0026202225126326084,-5.499802589416504,0.033365797251462936,0.0012722996762022376,0.1272299587726593,2.357275616024501e-13,0.01272299699485302
e201dfd4,DSRegPSOPnl,2024-07-20 17:59:46,1:46:14,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.15,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0.0,0.15,19980200,-15.600000381469727,15.600000381469727,1.0,72.0,0.8579999804496765,0.09233339130878448,0.03716340288519859,0.0977516770362854,0.038688454777002335,0.01453445479273796,0.002461409429088235,0.014534455724060535,0.002461409429088235,-6.301768779754639,-0.2986545264720917,0.07398857921361923,0.1321224570274353,5.827866536795359e-14,0.014534455724060535
12e80316,DSRegPSOPnl,2024-07-20 17:59:03,1:46:47,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.1,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0.0,0.1,19980200,-2.5999999046325684,2.5999999046325684,1.0,74.0,0.14300000667572021,0.09647676348686218,0.031175019219517708,0.10567555576562881,0.03255053609609604,0.018457157537341118,0.0015875693643465638,0.018457157537341118,0.0015875694807618856,-5.024410247802734,0.21821293234825134,0.0017785131931304932,0.17785131931304932,1.8622260851419714e-12,0.018457157537341118
fbc17dac,DSRegPSOPnl,2024-07-20 17:58:33,1:46:00,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0.05,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0.0,0.05,19980200,-5.972039222717285,5.972039222717285,0.0,73.0,0.328462153673172,0.08738985657691956,0.03497045859694481,0.09319860488176346,0.03635439649224281,0.014849812723696232,0.0019380393205210567,0.014849813655018806,0.0019380394369363785,-3.5027899742126465,-1.348693609237671,0.044700149446725845,0.1287432163953781,1.9361906012944213e-13,0.014849813655018806
454e2406,DSRegPSOPnl,2024-07-20 17:58:06,1:46:08,completed,Smax=0.04 Smin=0.01 Sslimit=3 dseta=0.001 fdmax=1 fdmin=1.0e-10 function=6 groups=1 n=200 n_operators=4 nlvls=2 noise_c=0.0 noise_x=0,0.04,0.01,3,0.001,1,1e-10,6,1,200,4,2,0.0,0,19980200,-3.3998730182647705,3.3998730182647705,1.0,78.0,0.18699301779270172,0.0792917013168335,1.46344047990965e-10,0.08280805498361588,1.5381597384678258e-10,0.009969240985810757,5.0381118649335667e-20,0.009969241917133331,1.180869568795373e-10,-1.769031047821045,1.0,0.00870879739522934,0.09677806496620178,3.1967199612230324e-13,0.009969241917133331
